hcpcs,single_dose,effective_note,source
J1190,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1201,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1205,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1245,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1250,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1265,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1300,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1302,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1303,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1305,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1322,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1327,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1335,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1437,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1439,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1442,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1447,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1448,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1449,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1450,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1451,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1455,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1459,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1460,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1551,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1554,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1555,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1556,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1558,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1559,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1561,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1568,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1569,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1570,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1571,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1573,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1575,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1576,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1602,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1610,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
