generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-489-17,10/14/2016,04/23/2026,Revised,openfda_drug_shortages
Methotrexate Sodium Injection,Accord Healthcare Inc.,Rheumatology; Oncology,Injection,Current,Unavailable,16729-277-30,03/13/2023,05/18/2026,Revised,openfda_drug_shortages
Remifentanil Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction,Injection,Current,Available,0143-9391-10,06/28/2022,05/12/2026,Reverified,openfda_drug_shortages
Furosemide Injection,Gland Pharma Limited,Cardiovascular,Injection,Current,Unavailable,25021-311-10,04/07/2020,04/28/2026,Revised,openfda_drug_shortages
Insulin Aspart Injection,"Novo Nordisk, Inc.",Endocrinology/Metabolism,Injection,To Be Discontinued,,73070-102-15,07/21/2025,07/21/2025,New,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Avaliable,0555-0971-02,10/12/2022,05/18/2026,Revised,openfda_drug_shortages
Frovatriptan Succinate Tablet,"Endo Pharmaceuticals, Inc.",Neurology,Tablet,To Be Discontinued,,0603-3718-34,11/12/2025,11/12/2025,New,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-355-01,03/25/2026,03/25/2026,New,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,62037-710-01,11/21/2025,11/21/2025,New,openfda_drug_shortages
Etomidate Injection,"Caplin Steriles, Ltd.",Anesthesia,Injection,Current,Available,65219-447-20,10/05/2022,04/16/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",Psychiatry,Tablet,Current,Available,64850-505-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-355-30,03/25/2026,03/25/2026,New,openfda_drug_shortages
Etomidate Injection,"Mylan Institutional, a Viatris Company",Anesthesia,Injection,Current,Available,67457-902-10,10/05/2022,05/19/2026,Reverified,openfda_drug_shortages
Methylprednisolone Acetate Injection,Pfizer Inc.,Rheumatology,Injection,Current,Available,0009-3475-03,12/15/2021,05/08/2026,Reverified,openfda_drug_shortages
"Potassium Citrate Tablet, Extended Release",Watson Pharma Private Limited,Renal,Tablet,To Be Discontinued,,0591-2682-01,07/17/2025,07/17/2025,New,openfda_drug_shortages
Etomidate Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-6695-02,10/05/2022,05/08/2026,Reverified,openfda_drug_shortages
Furosemide Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular,Injection,Current,Available,0409-6102-02,04/07/2020,05/08/2026,Reverified,openfda_drug_shortages
Penicillin G Benzathine Injection,Pfizer Inc.,Anti-Infective,Injection,Current,Limited Availability,60793-701-10,04/26/2023,05/08/2026,Revised,openfda_drug_shortages
Fentanyl Citrate Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction; Pediatric,Injection,Current,Unavailable,63323-806-50,01/01/2012,04/23/2026,Revised,openfda_drug_shortages
Midazolam Hydrochloride Injection,WG Critical Care,Anesthesia; Neurology,Injection,Current,Available,44567-611-10,04/02/2020,05/01/2026,Reverified,openfda_drug_shortages
Prazosin Hydrochloride Capsule,Pfizer Inc.,Cardiovascular,Capsule,To Be Discontinued,,0069-4370-71,04/28/2023,04/28/2023,New,openfda_drug_shortages
Fluticasone Propionate; Salmeterol Xinafoate Powder,"Teva Pharmaceuticals USA, Inc.",Pulmonary/Allergy,Powder,To Be Discontinued,,59310-805-06,06/13/2025,06/13/2025,New,openfda_drug_shortages
Glyburide Tablet,"Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,0093-8035-01,06/10/2025,06/10/2025,New,openfda_drug_shortages
Phenobarbital Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction; Neurology; Other,Tablet,To Be Discontinued,,0603-5167-32,10/31/2025,10/31/2025,New,openfda_drug_shortages
Flurazepam Hydrochloride Capsule,Chartwell Molecular Holdings LLC,Neurology; Other,Capsule,Current,Available,62135-737-90,08/03/2022,05/19/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,76045-004-11,10/31/2017,04/23/2026,Reverified,openfda_drug_shortages
Technetium TC-99M Pyrophosphate Kit Injection,"Sun Pharmaceutical Industries, Inc.",Medical Imaging,Injection,Current,Unavailable,45567-0060-1,12/27/2023,04/17/2026,Revised,openfda_drug_shortages
Ketorolac Tromethamine Injection,Sagent Pharmaceuticals,Analgesia/Addiction,Injection,Current,Available,25021-701-01,03/26/2018,04/23/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Huons Co., Ltd. (South Korea)",Anesthesia,Injection,Current,Unavailable,73293-0001-2,07/14/2018,05/05/2026,Revised,openfda_drug_shortages
Atazanavir Sulfate; Cobicistat Tablet,Bristol Myers Squibb Co.,Antiviral,Tablet,To Be Discontinued,,0003-3641-11,11/03/2025,11/03/2025,New,openfda_drug_shortages
Ketorolac Tromethamine Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,63323-162-02,03/23/2018,04/23/2026,Revised,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Chartwell Molecular Holdings LLC,Cardiovascular,Tablet,Current,Available,62135-485-90,01/19/2023,05/19/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,"Meitheal Pharmaceuticals, Inc.",Anesthesia,Injection,Current,Available,71288-700-06,02/15/2023,08/19/2025,Reverified,openfda_drug_shortages
Hydrocortisone Sodium Succinate Injection,"Hospira, Inc., a Pfizer Company",Pulmonary/Allergy; Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Pediatric; Renal; Rheumatology,Injection,Resolved,,0009-0011-03,03/24/2023,02/24/2026,Revised,openfda_drug_shortages
Irinotecan Hydrochloride Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,50742-402-05,02/24/2026,02/24/2026,New,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Upsher-Smith Laboratories, LLC",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,0832-5323-10,07/23/2025,07/23/2025,New,openfda_drug_shortages
Furosemide Injection,"Meitheal Pharmaceuticals, Inc.",Cardiovascular,Injection,Current,Available,71288-203-11,04/07/2020,04/23/2026,Revised,openfda_drug_shortages
Penicillin G Benzathine Injection,Laboratorios Atral,Anti-Infective,Injection,Current,Available,84383-110-01,04/26/2023,04/30/2026,Revised,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-286-00,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Hydromorphone Hydrochloride Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,63323-851-15,10/31/2017,04/23/2026,Reverified,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-025-90,07/10/2025,07/10/2025,New,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Chartwell Molecular Holdings LLC,Cardiovascular,Tablet,Current,Available,62135-487-90,01/19/2023,05/19/2026,Reverified,openfda_drug_shortages
Hydrocortisone Sodium Succinate Injection,"Hospira, Inc., a Pfizer Company",Pulmonary/Allergy; Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Pediatric; Renal; Rheumatology,Injection,Resolved,,0009-0005-01,03/24/2023,02/24/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Limited Availability,0555-0973-02,10/12/2022,05/18/2026,Revised,openfda_drug_shortages
"Streptozocin Powder, For Solution","ESTEVE PHARMACEUTICALS, S.A.",Oncology,"Powder, For Solution",Current,Available,68118-100-01,07/12/2022,05/06/2026,Reverified,openfda_drug_shortages
Hydromorphone Hydrochloride Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,76045-010-11,11/01/2017,04/23/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Anesthesia,Injection,Current,Available,0143-9577-10,06/13/2018,05/12/2026,Reverified,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Pfizer Inc.,Cardiovascular,Tablet,Current,Unavailable,0071-0530-23,01/19/2023,05/08/2026,Reverified,openfda_drug_shortages
Hydromorphone Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction,Injection,Current,Available,0641-0121-25,11/03/2017,05/12/2026,Reverified,openfda_drug_shortages
Phenobarbital Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction; Neurology; Other,Tablet,To Be Discontinued,,0603-5166-32,10/31/2025,10/31/2025,New,openfda_drug_shortages
Clindamycin Hydrochloride Capsule,Pfizer Inc.,Anti-Infective,Capsule,To Be Discontinued,,0009-0225-02,02/25/2026,02/25/2026,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-495-27,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable",Novadoz Pharmaceuticals LLC,Psychiatry,"Tablet, Chewable",Current,Available,72205-137-91,07/14/2023,04/02/2026,Reverified,openfda_drug_shortages
Valsartan Tablet,"Mylan Pharmaceuticals Inc., a Viatris Company",Cardiovascular,Tablet,To Be Discontinued,,0378-5813-77,11/19/2025,11/19/2025,New,openfda_drug_shortages
Liraglutide Injection,"Novo Nordisk, Inc.",Endocrinology/Metabolism,Injection,Current,Available,0169-2800-15,07/18/2023,04/20/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Caplin Steriles, Ltd.",Anesthesia,Injection,Current,Limited Availability,43066-023-10,12/22/2020,04/16/2026,Revised,openfda_drug_shortages
Azacitidine Injection,Bristol Myers Squibb Co.,Oncology,Injection,Current,Available,59572-102-01,12/18/2020,05/08/2026,Reverified,openfda_drug_shortages
"Lamotrigine Tablet, Extended Release","Par Health, Inc.",Neurology,Tablet,To Be Discontinued,,49884-561-11,04/29/2026,04/29/2026,New,openfda_drug_shortages
Liraglutide Injection,"Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Injection,To Be Discontinued,,0480-7250-46,05/14/2026,05/14/2026,New,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,InfoRLife SA,Anesthesia,Injection,Current,Available,25021-652-82,03/27/2018,11/13/2025,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-4282-01,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Aurobindo Pharma USA,Cardiovascular,Tablet,Current,Unavailable,65862-620-90,01/19/2023,04/15/2026,Reverified,openfda_drug_shortages
Bumetanide Injection,Mullan Pharmaceutical Inc.,Cardiovascular,Injection,Current,Available,83301-0080-2,12/13/2017,04/08/2026,Revised,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-150-30,07/10/2025,07/10/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Hikma Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Limited Availability,0054-0370-25,07/14/2023,05/12/2026,Reverified,openfda_drug_shortages
Sodium Bicarbonate Injection,"Hospira, Inc., a Pfizer Company",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Available,0409-5555-02,03/01/2017,05/08/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",Psychiatry,Tablet,Current,Available,0527-0763-37,10/12/2022,05/15/2026,Reverified,openfda_drug_shortages
Atazanavir Sulfate Capsule,Bristol Myers Squibb Co.,Antiviral,Capsule,To Be Discontinued,,0003-3631-12,06/04/2025,06/04/2025,New,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Unavailable,0409-9042-17,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Unavailable,0409-4903-34,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Amneal Pharmaceuticals,Psychiatry,Capsule,Current,Unavailable,65162-024-09,07/14/2023,02/09/2026,Reverified,openfda_drug_shortages
Sterile Water Injection,"Hospira, Inc., a Pfizer Company",Other,Injection,Current,Available,0409-4887-10,11/23/2021,05/08/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-486-17,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,Sandoz Inc.,Anesthesia,Injection,Current,Available,0781-3220-92,02/15/2023,05/11/2026,Reverified,openfda_drug_shortages
Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.",Psychiatry,Tablet,To Be Discontinued,,23155-580-01,08/12/2025,08/12/2025,New,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable",Takeda Pharmaceuticals USA Inc.,Psychiatry,"Tablet, Chewable",Current,Available,59417-118-01,07/14/2023,05/08/2026,Reverified,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Trigen Laboratories, LLC",Psychiatry,Tablet,Current,Limited Availability,13811-706-10,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Caspofungin Acetate Injection,"Fresenius Kabi USA, LLC",Anti-Infective,Injection,To Be Discontinued,,63323-358-10,01/12/2026,01/12/2026,New,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Limited Availability,0409-1178-30,05/30/2025,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-472-37,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Clindamycin Phosphate Injection,Baxter Healthcare,Anti-Infective,Injection,Current,Limited Availability,0338-3410-50,03/21/2023,04/20/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",Psychiatry,Tablet,Current,Limited Availability,0527-0766-37,10/12/2022,05/15/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC",Psychiatry,Tablet,Current,Available,42806-339-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1582-29,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Hikma Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Limited Availability,0054-0371-25,07/14/2023,05/12/2026,Reverified,openfda_drug_shortages
Sodium Bicarbonate Injection,"Exela Pharma Sciences, LLC",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Available,51754-5011-4,07/24/2017,05/15/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Limited Availability,0093-3212-01,03/10/2023,05/01/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Lannett Company, Inc.",Psychiatry,Capsule,Current,Available,0527-4665-37,07/14/2023,05/15/2026,Reverified,openfda_drug_shortages
Adalimumab-adaz Injection,Sandoz Inc.,Rheumatology,Injection,To Be Discontinued,,61314-531-64,01/13/2026,01/13/2026,New,openfda_drug_shortages
Amantadine Hydrochloride Capsule,"Upsher-Smith Laboratories, LLC",Antiviral; Neurology,Capsule,To Be Discontinued,,0832-1015-00,07/23/2025,07/23/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Amneal Pharmaceuticals,Psychiatry,Capsule,Current,Unavailable,65162-025-09,07/14/2023,02/09/2026,Reverified,openfda_drug_shortages
Spironolactone Tablet,Pfizer Inc.,Cardiovascular,Tablet,To Be Discontinued,,0025-1031-31,12/10/2025,12/10/2025,New,openfda_drug_shortages
Acetaminophen; Oxycodone Hydrochloride Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction,Tablet,To Be Discontinued,,60951-712-70,11/03/2025,11/03/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Solco Healthcare US, LLC",Psychiatry,Capsule,Current,Limited Availability,43547-607-10,07/14/2023,05/14/2026,Reverified,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-1176-30,05/30/2025,05/08/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,Gland Pharma Limited,Oncology,Injection,Current,Unavailable,54288-164-01,04/28/2023,04/24/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.",Psychiatry,"Tablet, Chewable",Current,Available,57664-083-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
Valproate Sodium Injection,"Fresenius Kabi USA, LLC",Neurology,Injection,Current,Available,63323-494-05,12/30/2020,04/23/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,"Fresenius Kabi USA, LLC",Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,65219-458-30,02/14/2022,04/23/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.",Psychiatry,Tablet,Current,Available,11534-194-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Available,63323-452-01,10/31/2017,04/23/2026,Reverified,openfda_drug_shortages
Cromolyn Sodium Concentrate,Ailex Pharmaceuticals,Pulmonary/Allergy,Concentrate,Current,Available,81665-104-96,11/03/2023,05/08/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Sandoz Inc.,Psychiatry,Tablet,Current,Available,0185-0842-01,10/12/2022,05/11/2026,Revised,openfda_drug_shortages
Carboplatin Injection,Ingenus Pharmaceuticals LLC,Oncology,Injection,To Be Discontinued,,50742-447-45,02/20/2026,02/20/2026,New,openfda_drug_shortages
Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC",Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Injection,Current,Available,76045-109-10,02/08/2019,05/08/2026,Revised,openfda_drug_shortages
Maraviroc Solution,ViiV Healthcare Company,Antiviral,Solution,To Be Discontinued,,49702-260-55,01/20/2026,01/20/2026,New,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Sun Pharmaceutical Industries, Inc.",Psychiatry,Tablet,Current,Unavailable,57664-609-88,07/26/2023,04/17/2026,Revised,openfda_drug_shortages
Clonazepam Tablet,Aurobindo Pharma USA,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,59651-724-01,03/10/2023,04/15/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Trigen Laboratories, LLC",Psychiatry,Tablet,Current,Limited Availability,13811-707-10,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1560-29,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,Cardiovascular,Capsule,To Be Discontinued,,0078-0364-05,06/24/2025,06/24/2025,New,openfda_drug_shortages
Methotrexate Injection,"Assertio Specialty Pharmaceuticals, LLC",Rheumatology,Injection,To Be Discontinued,,82497-012-04,08/29/2025,08/29/2025,New,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Sandoz Inc.,Psychiatry,Tablet,Current,Limited Availablity,0185-0853-01,10/12/2022,05/11/2026,Revised,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-407-10,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release",SpecGx LLC,Psychiatry,Tablet,Current,Limited Availability,0406-1445-01,07/26/2023,05/08/2026,Revised,openfda_drug_shortages
Allopurinol Tablet,"Teva Pharmaceuticals USA, Inc.",Oncology; Renal; Rheumatology,Tablet,To Be Discontinued,,0591-5544-05,02/19/2026,02/19/2026,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Pfizer Inc.,Anesthesia,Injection,Current,Available,0409-3301-10,04/10/2020,05/08/2026,Reverified,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release",Janssen Pharmaceuticals,Psychiatry,Tablet,Current,Available,50458-587-01,07/26/2023,04/17/2026,Reverified,openfda_drug_shortages
Minocycline Hydrochloride Capsule,"Teva Pharmaceuticals USA, Inc.",Anti-Infective,Capsule,To Be Discontinued,,0591-3153-01,05/23/2025,05/23/2025,New,openfda_drug_shortages
Amino Acid Injection,B. Braun Medical Inc.,Gastroenterology,Injection,Current,Available,0264-4500-05,12/08/2020,05/19/2026,Reverified,openfda_drug_shortages
Adalimumab-adaz Injection,Sandoz Inc.,Rheumatology,Injection,To Be Discontinued,,61314-517-36,01/13/2026,01/13/2026,New,openfda_drug_shortages
Carboplatin Injection,Accord Healthcare Inc.,Oncology,Injection,Current,Unavailable,16729-295-31,04/28/2023,05/18/2026,Reverified,openfda_drug_shortages
Everolimus Tablet,"Mylan Pharmaceuticals Inc., a Viatris Company",Transplant,Tablet,To Be Discontinued,,0378-0007-85,11/03/2025,11/03/2025,New,openfda_drug_shortages
Morphine Sulfate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Limited Availability,0409-3814-12,10/31/2017,05/08/2026,Revised,openfda_drug_shortages
"Potassium Citrate Tablet, Extended Release",Watson Pharma Private Limited,Renal,Tablet,To Be Discontinued,,0591-2742-01,07/17/2025,07/17/2025,New,openfda_drug_shortages
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-488-17,10/14/2016,04/23/2026,Reverified,openfda_drug_shortages
Palivizumab Injection,Swedish Orphan Biovitrum AB,Antiviral,Injection,To Be Discontinued,,66658-230-01,08/13/2025,08/13/2025,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,"Par Health, USA LLC",Anesthesia,Injection,Current,Available,42023-146-25,04/10/2020,05/01/2026,Reverified,openfda_drug_shortages
Dobutamine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular; Pediatric; Renal,Injection,Current,Unavailable,0409-3724-32,11/06/2017,05/08/2026,Reverified,openfda_drug_shortages
Methylprednisolone Acetate Injection,Sagent Pharmaceuticals,Rheumatology,Injection,Current,Available,25021-821-05,12/15/2021,04/23/2026,Reverified,openfda_drug_shortages
Omeprazole Delayed Release Capsule,Sandoz Inc.,Gastroenterology,,To Be Discontinued,,0781-2859-31,10/09/2025,10/09/2025,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Baxter Healthcare,Anesthesia,Injection,Current,Limited Availability,0338-9557-12,04/10/2020,05/16/2026,Reverified,openfda_drug_shortages
Mirikizumab-mrkz Injection,Eli Lilly and Co.,Gastroenterology; Other,Injection,To Be Discontinued,,0002-8011-27,12/22/2025,12/22/2025,New,openfda_drug_shortages
Clonazepam Tablet,Aurobindo Pharma USA,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,59651-723-01,03/10/2023,04/15/2026,Revised,openfda_drug_shortages
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,Cardiovascular,Tablet,To Be Discontinued,,13668-386-30,06/13/2025,06/13/2025,New,openfda_drug_shortages
Methylprednisolone Acetate Injection,Pfizer Inc.,Rheumatology,Injection,Current,Limited Availability,0009-3073-03,12/15/2021,05/08/2026,Revised,openfda_drug_shortages
Palbociclib Capsule,Pfizer Inc.,Oncology,Capsule,To Be Discontinued,,0069-0188-21,04/22/2026,04/22/2026,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Pfizer Inc.,Anesthesia,Injection,Current,Available,0409-1660-50,04/10/2020,05/08/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,63323-454-01,10/31/2017,04/23/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Prinston Pharmaceutical, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Available,43547-406-11,03/10/2023,05/05/2026,Reverified,openfda_drug_shortages
Etomidate Injection,"Hikma Pharmaceuticals USA, Inc.",Anesthesia,Injection,Current,Available,72572-160-10,10/05/2022,05/12/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction,Injection,Current,Available,0641-6020-10,11/03/2017,05/12/2026,Reverified,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,62037-720-05,11/21/2025,11/21/2025,New,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Otsuka ICU Medical LLC,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0990-7922-03,02/14/2022,05/15/2026,Revised,openfda_drug_shortages
Omeprazole Delayed Release Capsule,Sandoz Inc.,Gastroenterology,,To Be Discontinued,,0781-2868-01,10/09/2025,10/09/2025,New,openfda_drug_shortages
