generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Allopurinol Tablet,"Teva Pharmaceuticals USA, Inc.",Oncology; Renal; Rheumatology,Tablet,To Be Discontinued,,0591-5543-10,02/19/2026,02/19/2026,New,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Sun Pharmaceutical Industries, Inc.",Psychiatry,Tablet,Current,Unavailable,57664-606-88,07/26/2023,04/17/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Vertical Pharmaceuticals, LLC",Psychiatry,Tablet,Current,Available,68025-089-30,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Clindamycin Phosphate Injection,Sandoz Inc.,Anti-Infective,Injection,Current,Available,72572-076-24,03/21/2023,05/11/2026,Reverified,openfda_drug_shortages
Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC",Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Injection,Current,Available,63323-165-05,02/08/2019,05/08/2026,Revised,openfda_drug_shortages
Metronidazole Injection,InfoRLife SA,Anti-Infective,Injection,Current,Limited Availability,0409-0152-24,01/13/2022,11/13/2025,Reverified,openfda_drug_shortages
Clonazepam Tablet,Rubicon Research Private Limited,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,72888-153-05,03/10/2023,01/05/2026,Reverified,openfda_drug_shortages
Carboplatin Injection,Accord Healthcare Inc.,Oncology,Injection,Current,Unavailable,16729-295-34,04/28/2023,05/18/2026,Revised,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-354-05,03/25/2026,03/25/2026,New,openfda_drug_shortages
Omeprazole Delayed Release Capsule,Sandoz Inc.,Gastroenterology,,To Be Discontinued,,0781-2868-92,10/09/2025,10/09/2025,New,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Baxter Healthcare,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0338-0551-18,02/14/2022,05/16/2026,Reverified,openfda_drug_shortages
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-483-57,10/14/2016,04/23/2026,Reverified,openfda_drug_shortages
Quinapril Hydrochloride Tablet,"Lupin Pharmaceuticals, Inc.",Cardiovascular,Tablet,Current,Unavailable,68180-558-09,01/19/2023,04/29/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 10% Injection,Otsuka ICU Medical LLC,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0990-7930-02,03/01/2022,05/15/2026,Revised,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Unavailable,55150-250-50,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Methylprednisolone Acetate Injection,Pfizer Inc.,Rheumatology,Injection,Current,Available,0009-3073-22,12/15/2021,05/08/2026,Reverified,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Anesthesia; Neurology,Injection,Current,Available,0641-6060-10,04/02/2020,05/12/2026,Reverified,openfda_drug_shortages
Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC",Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Injection,Current,Available,63323-516-10,02/08/2019,05/08/2026,Revised,openfda_drug_shortages
