outpatient_category,year,payer_type,doi_region,total_spend,member_months,pppy,source_id
Surgery,2019,CHP+,Denver,9631713.54739539,458162,252.27007601840546,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,East,872693.295779968,62275,168.16249778176825,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Ft. Collins,575765.56,50672,136.35117461319862,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Grand Junction,351643.0,33114,127.42996919731836,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Greeley,1344250.08,78720,204.91617073170733,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Pueblo,323336.67,24930,155.63738628158845,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,West,1894880.95,106248,214.01411226564267,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,All,892789929.64,16719269,640.7863379481483,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Boulder,45332025.84,1087793,500.08072315229094,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Colorado Springs,78382586.93,1564829,601.0823183619425,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Denver,383758873.34,9531050,483.1688512892073,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,East,51458995.47,600950,1027.5529505616107,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Ft. Collins,66252024.28,1039776,764.6111194718862,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Grand Junction,23477334.59,379224,742.9066068603254,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Greeley,63744757.34,937459,815.9685789778539,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,Pueblo,23968484.7,363421,791.4287187586849,civhc_coc_fy23_outpatient
Surgery,2019,Commercial,West,143160033.51,1223679,1403.897919405334,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,All,314611363.459069,15089696,250.19300332550296,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Boulder,10781147.2038689,566474,228.38429733125756,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Colorado Springs,45909371.2171237,2217315,248.45926474383856,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Denver,131484312.105699,7221499,218.48812071681903,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,East,28617463.4587956,1089381,315.23366159823536,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Ft. Collins,14518296.7855571,761215,228.87037358260832,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Grand Junction,11590403.9691078,517210,268.9136861802625,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Greeley,18105321.1269142,945670,229.74595104314443,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,Pueblo,14984812.049917,812825,221.22565693599978,civhc_coc_fy23_outpatient
Surgery,2019,Medicaid,West,33102136.0974833,1104812,359.54138185483106,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,All,386672100.48,6351769,730.5154210992246,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Boulder,18260041.78,336315,651.5335365951564,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Colorado Springs,49006776.92,872199,674.2513153993527,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Denver,132997146.48,2447921,651.9678362822983,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,East,40219305.25,591097,816.5016283283455,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Ft. Collins,25361434.02,449583,676.932197703205,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Grand Junction,14609792.95,272109,644.2914986273883,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Greeley,24031567.65,345310,835.1302070603225,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,Pueblo,14746945.28,247231,715.781367870534,civhc_coc_fy23_outpatient
Surgery,2019,Medicare,West,61511389.93,790279,934.020363896801,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,All,176132201.907373,4356473,485.1599959160716,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Boulder,9277968.1913119,241987,460.08925395059566,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Colorado Springs,21204978.6202715,490027,519.276985642134,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Denver,92929890.0202429,2470079,451.4668074352743,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,East,8725070.1237821,163995,638.4392297654514,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Ft. Collins,11846968.1350676,272656,521.4028578898364,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Grand Junction,4803738.00822025,124896,461.5428524423761,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Greeley,11630977.0734235,240724,579.7997909684202,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,Pueblo,8296476.24486402,203332,489.63131695143034,civhc_coc_fy23_outpatient
Surgery,2019,Medicare Advantage,West,6915582.33018996,150013,553.198642532844,civhc_coc_fy23_outpatient
Surgery,2020,All,All,1900610713.52663,41070234,555.3250210923941,civhc_coc_fy23_outpatient
Surgery,2020,All,Boulder,95530135.4045287,2157951,531.2269022115629,civhc_coc_fy23_outpatient
Surgery,2020,All,Colorado Springs,207399712.807087,4975920,500.16812040487866,civhc_coc_fy23_outpatient
Surgery,2020,All,Denver,826767176.619654,20914157,474.3775290314522,civhc_coc_fy23_outpatient
Surgery,2020,All,East,129580886.983608,2332333,666.7018147937263,civhc_coc_fy23_outpatient
Surgery,2020,All,Ft. Collins,119539136.219346,2473847,579.8538206413541,civhc_coc_fy23_outpatient
Surgery,2020,All,Grand Junction,58784032.1259088,1217715,579.2885736899896,civhc_coc_fy23_outpatient
