organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
Vail Valley Surgery Center - Vail,Outpatient,2021,Eagle,Rural,West,0,1,5.1504,783,2.7793,3.9793,2.6902,3.653,civhc_rbp_fy26
Valley View Hospital,Inpatient/Outpatient Combined,2023,Garfield,Rural,West,0,0,3.7414,18876,2.5901,3.1476,2.4878,0.1416,civhc_rbp_fy26
Weisbrod Memorial County Hospital,Outpatient,2024,Kiowa,Rural,East,1,0,0.6773,556,2.4156,0.6773,2.891,0.0037,civhc_rbp_fy26
Yuma District Hospital,Inpatient/Outpatient Combined,2022,Yuma,Rural,East,1,0,1.2968,1660,2.1472,1.3381,2.3417,0.101,civhc_rbp_fy26
Aberdeen Ambulatory Surgical Center,Outpatient,2022,Pueblo,Urban,Pueblo,0,1,1.343,34,3.4625,3.4625,2.528,0.0015,civhc_rbp_fy26
Advanced Heart and Vein Surgery Center,Outpatient,2024,Broomfield,Urban,Denver,0,1,1.5473,100,2.4045,3.0786,2.524,0.0003,civhc_rbp_fy26
AdventHealth Avista,Inpatient,2022,Boulder,Urban,Boulder,0,0,1.4962,815,1.6805,1.6805,1.99,0.2669,civhc_rbp_fy26
AdventHealth Avista,Outpatient,2024,Boulder,Urban,Boulder,0,0,2.6357,8806,2.2621,2.2621,2.524,0.7125,civhc_rbp_fy26
AdventHealth Castle Rock,Inpatient/Outpatient Combined,2021,Douglas,Urban,Denver,0,0,1.8909,14267,2.1842,2.2152,2.2969,0.1758,civhc_rbp_fy26
AdventHealth Castle Rock,Inpatient/Outpatient Combined,2024,Douglas,Urban,Denver,0,0,2.3434,9559,2.3072,2.3331,2.3717,0.4001,civhc_rbp_fy26
AdventHealth Parker,Outpatient,2022,Douglas,Urban,Denver,0,0,2.77,13335,2.3542,2.204,2.528,0.4132,civhc_rbp_fy26
