ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
103039,62.36,9.40,1.13,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103040,69.06,8.76,1.09,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103042,66.53,10.75,1.08,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103043,67.86,9.85,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103044,71.77,10.50,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103045,66.61,12.31,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103046,61.14,9.20,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103047,67.79,11.96,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103048,74.37,10.54,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103049,72.83,10.27,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103050,66.30,11.41,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103051,69.44,9.96,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103052,71.75,9.87,1.08,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103053,73.66,8.93,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103054,72.96,10.34,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103055,66.51,10.51,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103056,63.67,11.19,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103057,68.36,11.43,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103061,67.01,9.48,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103062,71.89,10.55,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103063,65.47,9.29,1.11,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103064,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103065,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103066,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103067,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103068,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103069,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103070,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T002,67.81,9.29,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T006,60.84,10.55,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T007,62.49,9.72,1.10,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T017,69.31,9.67,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T022,71.18,8.17,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T032,62.54,8.59,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T034,73.38,8.11,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T038,66.56,9.57,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
